DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Jan-2026,EQ,"180.60","182.20","180.20","180.08","181.74","181.89","181.32","186.94","122.62",21507757,"3,89,98,81,548.82",139910
31-Dec-2025,EQ,"180.00","181.40","178.50","175.80","179.93","180.08","180.10","186.94","122.62",50897201,"9,16,63,55,732.62",394423
30-Dec-2025,EQ,"172.78","176.35","170.80","172.30","175.68","175.80","174.36","186.94","122.62",33741158,"5,88,31,71,811.78",211409
29-Dec-2025,EQ,"169.51","174.13","169.29","169.12","172.30","172.30","172.74","186.94","122.62",48001907,"8,29,16,44,748.20",201065
26-Dec-2025,EQ,"169.89","169.90","167.82","170.07","169.05","169.12","168.71","186.94","122.62",16904834,"2,85,20,49,160.84",114915
24-Dec-2025,EQ,"171.35","171.65","169.67","170.90","169.89","170.07","170.67","186.94","122.62",17430406,"2,97,48,33,228.87",100506
23-Dec-2025,EQ,"169.35","171.35","169.25","169.22","170.82","170.90","170.54","186.94","122.62",17348078,"2,95,85,38,412.04",129321
22-Dec-2025,EQ,"169.04","171.46","169.00","168.69","169.06","169.22","170.00","186.94","122.62",23729300,"4,03,40,06,284.29",168942
19-Dec-2025,EQ,"169.15","169.62","167.83","168.12","168.80","168.69","168.60","186.94","122.62",28448892,"4,79,64,27,579.50",145333
18-Dec-2025,EQ,"169.92","170.45","167.56","170.34","167.95","168.12","169.05","186.94","122.62",13152378,"2,22,33,52,193.86",129480
17-Dec-2025,EQ,"170.09","171.30","169.66","169.83","170.29","170.34","170.28","186.94","122.62",11624504,"1,97,93,64,368.97",133540
16-Dec-2025,EQ,"172.70","172.70","169.25","172.87","169.80","169.83","170.21","186.94","122.62",22981935,"3,91,18,60,834.36",203504
15-Dec-2025,EQ,"170.95","173.17","170.50","171.89","172.70","172.87","172.45","186.94","122.62",23254201,"4,01,02,73,717.67",250886
12-Dec-2025,EQ,"167.60","172.50","167.40","166.38","172.00","171.89","170.70","186.94","122.62",41130927,"7,02,09,42,884.67",331595
11-Dec-2025,EQ,"163.50","166.66","163.17","162.23","166.40","166.38","164.96","186.94","122.62",32603566,"5,37,82,33,256.81",175721
10-Dec-2025,EQ,"161.00","163.68","160.81","160.67","162.00","162.23","162.27","186.94","122.62",22537548,"3,65,72,31,933.78",199408
09-Dec-2025,EQ,"163.39","163.39","160.06","163.47","160.99","160.67","161.41","186.94","122.62",25766371,"4,15,89,39,007.31",206014
08-Dec-2025,EQ,"167.09","168.20","163.00","167.11","163.50","163.47","164.74","186.94","122.62",15772400,"2,59,83,40,828.31",143653
05-Dec-2025,EQ,"167.00","167.65","165.00","166.77","167.39","167.11","165.82","186.94","122.62",33500436,"5,55,50,23,660.21",119942
04-Dec-2025,EQ,"167.80","167.97","166.20","166.92","166.90","166.77","166.93","186.94","122.62",11419966,"1,90,63,90,648.70",122230
03-Dec-2025,EQ,"167.78","167.99","165.00","167.78","166.85","166.92","166.32","186.94","122.62",18873943,"3,13,91,82,867.65",144843
02-Dec-2025,EQ,"168.43","168.85","167.00","168.63","167.89","167.78","167.80","186.94","122.62",15355023,"2,57,65,40,329.95",154239
01-Dec-2025,EQ,"169.00","169.65","167.70","167.96","168.60","168.63","168.56","186.94","122.62",11758473,"1,98,19,77,612.27",122675
28-Nov-2025,EQ,"168.13","169.00","167.29","168.13","168.14","167.96","168.06","186.94","122.62",11975539,"2,01,26,26,665.65",107176
27-Nov-2025,EQ,"170.45","171.00","167.18","169.67","168.10","168.13","168.71","186.94","122.62",17546627,"2,96,02,71,021.31",129556
26-Nov-2025,EQ,"167.00","169.95","166.90","166.33","169.59","169.67","169.26","186.94","122.62",15044796,"2,54,64,29,211.91",108996
25-Nov-2025,EQ,"166.00","167.27","165.08","165.36","166.16","166.33","166.29","186.94","122.62",19983310,"3,32,29,47,224.57",148206
24-Nov-2025,EQ,"168.00","168.38","165.18","168.00","165.50","165.36","166.04","186.94","122.62",31202769,"5,18,08,90,017.52",133342
21-Nov-2025,EQ,"171.80","171.90","167.70","172.46","168.00","168.00","169.39","186.94","122.62",28412865,"4,81,29,79,005.91",143970
20-Nov-2025,EQ,"174.10","174.36","172.26","173.21","172.40","172.46","172.93","186.94","122.62",15968891,"2,76,15,58,163.58",120735
