DATA,DATE,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF__TRADES,DAILY_RETURN,MA_7,MA_14,MA_30,VOLATILITY,VOLUME_CHANGE
2023-01-31,2023-01-31,118.75,120.45,117.75,118.75,119.6,119.7,119.48,"1,386.70",95.0,43986769,"5,25,55,11,455.05",165252,0.008000000000000007,120.77857142857144,120.58214285714287,,0.00875629677824112,-0.055101327150634205
2023-02-01,2023-02-01,120.1,124.15,119.3,119.7,122.05,122.05,122.17,"1,386.70",95.0,72919626,"8,90,82,55,658.10",218692,0.019632414369256335,120.64999999999999,120.81071428571428,,0.01262007089373706,0.657762724059137
2023-02-02,2023-02-02,121.95,122.5,118.4,122.05,120.0,119.95,119.7,"1,386.70",95.0,38768010,"4,64,06,08,722.05",156869,-0.017206063088897938,120.35714285714286,120.94285714285715,,0.01390749340787351,-0.4683460115387865
2023-02-03,2023-02-03,120.05,121.0,117.2,119.95,120.0,120.35,119.18,"1,386.70",95.0,46977350,"5,59,87,05,778.30",180644,0.0033347228011670893,120.35,120.93571428571428,,0.013151683730557494,0.21175551698423511
2023-02-06,2023-02-06,120.0,120.0,117.0,120.35,117.2,117.45,117.84,"1,386.70",95.0,49546361,"5,83,86,95,548.50",209239,-0.02409638554216864,119.84285714285714,120.75714285714285,,0.015671952595170777,0.05468616258686376
2023-02-07,2023-02-07,112.6,115.35,110.55,117.45,111.2,111.45,112.53,"1,386.70",95.0,110953246,"12,48,55,38,285.30",427378,-0.05108556832694766,118.52857142857144,120.19285714285715,,0.023608798277091437,1.239382343336981
2023-02-08,2023-02-08,111.45,112.75,110.1,111.45,111.6,111.45,111.47,"1,386.70",95.0,66523699,"7,41,56,60,810.80",246258,0.0,117.48571428571428,119.40714285714286,,0.02383288937907946,-0.4004348552362317
2023-02-09,2023-02-09,112.15,112.95,109.95,111.45,111.35,111.25,111.11,"1,386.70",95.0,64710455,"7,19,01,26,333.05",195025,-0.0017945266935845972,116.27857142857142,118.52857142857144,,0.022955293255384254,-0.02725711328830349
2023-02-10,2023-02-10,111.0,111.25,108.3,111.25,108.75,108.8,109.08,"1,386.70",95.0,60810058,"6,63,33,01,056.70",270870,-0.022022471910112418,114.38571428571429,117.51785714285714,,0.018999088118716458,-0.06027460323065259
2023-02-13,2023-02-13,108.8,110.6,108.4,108.8,109.15,108.75,109.23,"1,386.70",95.0,56186469,"6,13,69,99,513.30",213478,-0.0004595588235294379,112.78571428571429,116.57142857142857,118.05666666666666,0.01987436914640212,-0.07603329370282796
2023-02-14,2023-02-14,109.55,109.9,108.25,108.75,109.3,109.25,109.07,"1,386.70",95.0,31163587,"3,39,91,53,115.15",147750,0.0045977011494253706,111.20000000000002,115.775,117.72333333333333,0.020059994437793424,-0.4453542364443652
2023-02-15,2023-02-15,109.0,110.6,108.8,109.25,110.35,110.3,109.82,"1,386.70",95.0,35544190,"3,90,33,13,900.75",150839,0.009610983981693355,110.17857142857143,115.01071428571429,117.45166666666667,0.02112430238208466,0.1405679968740441
2023-02-16,2023-02-16,111.0,112.2,110.65,110.3,112.0,112.0,111.38,"1,386.70",95.0,30956191,"3,44,79,51,206.65",133246,0.015412511332729029,110.25714285714285,114.39285714285714,117.32666666666667,0.011799685206772636,-0.12907873269864922
2023-02-17,2023-02-17,111.55,113.1,111.3,112.0,112.1,112.25,112.56,"1,386.70",95.0,34107244,"3,83,92,75,198.65",150582,0.0022321428571427937,110.37142857142858,113.92857142857143,117.18333333333334,0.01180577215141166,0.10179072095788522
2023-02-20,2023-02-20,112.3,112.7,111.05,112.25,112.55,112.35,112.16,"1,386.70",95.0,19896764,"2,23,16,99,003.55",105686,0.0008908685968818109,110.52857142857144,113.40357142857142,117.07333333333332,0.011740154278970837,-0.41664111002343085
2023-02-21,2023-02-21,112.9,114.2,112.75,112.35,113.45,113.15,113.56,"1,386.70",95.0,29830864,"3,38,74,74,094.25",149603,0.007120605251446532,111.14999999999999,112.76785714285714,116.92666666666668,0.005566579282306165,0.4992821948332904
2023-02-22,2023-02-22,113.25,113.7,110.65,113.15,111.15,111.15,111.85,"1,386.70",95.0,24391211,"2,72,81,86,737.25",128818,-0.017675651789659796,111.49285714285713,112.13928571428572,116.67,0.010405336653352625,-0.18234983069883592
2023-02-23,2023-02-23,111.55,113.65,111.35,111.15,112.2,112.05,112.32,"1,386.70",95.0,30845778,"3,46,44,72,213.65",153482,0.008097165991902688,111.89285714285714,111.54642857142858,116.44333333333333,0.010568161247871181,0.26462675428456595
2023-02-24,2023-02-24,112.5,112.9,109.55,112.05,109.85,109.75,110.47,"1,386.70",95.0,34326940,"3,79,20,36,662.95",154954,-0.02052655064703257,111.81428571428572,110.99642857142858,116.16499999999999,0.013481648868099378,0.11285700104565355
2023-02-27,2023-02-27,109.8,110.05,105.15,109.75,106.5,106.1,106.67,"1,386.70",95.0,56217189,"5,99,65,71,618.55",276383,-0.033257403189066115,110.97142857142856,110.61428571428571,115.68666666666668,0.016118203939821045,0.6376988161484829
2023-02-28,2023-02-28,106.85,107.05,103.55,106.1,104.1,103.95,104.68,"1,386.70",95.0,76540448,"8,01,22,43,048.10",273452,-0.020263901979264753,109.78571428571429,110.07857142857142,115.15333333333334,0.016076422310151238,0.36151325531413536
2023-03-01,2023-03-01,104.7,107.1,104.5,103.95,105.7,105.5,105.57,"1,386.70",95.0,76175319,"8,04,18,59,455.85",212265,0.014911014911014986,108.80714285714285,109.66785714285713,114.69166666666666,0.01847099942419502,-0.00477040583823074
2023-03-02,2023-03-02,106.05,106.9,104.35,105.5,104.85,104.65,105.14,"1,386.70",95.0,55276248,"5,81,18,26,485.25",200155,-0.008056872037914609,107.59285714285714,109.37142857142858,114.09833333333334,0.017133147220844604,-0.27435488652170925
2023-03-03,2023-03-03,106.0,107.45,105.0,104.65,107.45,107.0,105.92,"1,386.70",95.0,117175295,"12,41,09,56,853.75",212882,0.022455805064500733,107.0,109.24642857142858,113.54666666666667,0.020829893212810372,1.119812744888184
2023-03-06,2023-03-06,107.5,107.6,105.0,107.0,105.85,105.65,106.04,"1,386.70",95.0,106868143,"11,33,19,46,650.00",235575,-0.012616822429906471,106.08571428571427,108.98928571428571,112.97000000000001,0.02007810143745208,-0.08796352507582761
2023-03-08,2023-03-08,105.3,106.9,104.0,105.65,106.4,106.5,106.1,"1,386.70",95.0,43939583,"4,66,18,90,631.85",176234,0.008045433033601501,105.62142857142855,108.71785714285714,112.45333333333335,0.02005724733752888,-0.5888430193832412
2023-03-09,2023-03-09,107.85,108.95,107.5,106.5,108.2,108.2,108.41,"1,386.70",95.0,51967449,"5,63,39,85,537.85",199963,0.015962441314554043,105.92142857142858,108.44642857142857,112.04666666666667,0.016437687074099157,0.1827023711171769
2023-03-10,2023-03-10,107.0,108.35,106.6,108.2,108.15,108.1,107.74,"1,386.70",95.0,47699832,"5,13,89,44,228.45",154176,-0.0009242144177450395,106.51428571428572,108.14999999999999,111.61666666666666,0.013197563644578476,-0.08212096383641998
2023-03-13,2023-03-13,108.25,109.0,106.35,108.1,107.15,106.8,107.66,"1,386.70",95.0,34552596,"3,72,00,63,116.85",143686,-0.012025901942645634,106.7,107.75357142857145,111.155,0.013963129097342271,-0.2756243669789026
2023-03-14,2023-03-14,107.0,108.55,106.2,106.8,106.55,106.4,107.38,"1,386.70",95.0,48584984,"5,21,71,99,866.90",166949,-0.0037453183520598232,106.95000000000002,107.27142857142857,110.74333333333334,0.013542866170733098,0.4061167502435996
2023-03-15,2023-03-15,107.5,109.15,107.4,106.4,108.7,108.65,108.53,"1,386.70",95.0,38930902,"4,22,53,15,557.85",150243,0.021146616541353414,107.1857142857143,107.09285714285714,110.375,0.013225872731247234,-0.19870505668994354
2023-03-16,2023-03-16,107.25,107.25,103.7,108.65,105.3,105.05,104.83,"1,386.70",95.0,81088340,"8,50,01,65,789.10",276188,-0.03313391624482287,107.10000000000001,106.59285714285714,109.80833333333334,0.018352775341579496,1.082878531815163
2023-03-17,2023-03-17,106.45,107.35,105.0,105.05,107.15,107.0,106.25,"1,386.70",95.0,48962238,"5,20,24,72,538.40",165069,0.01856258924321752,107.17142857142858,106.39642857142857,109.37666666666668,0.01957478347168472,-0.39618645541393493
2023-03-20,2023-03-20,106.1,106.45,103.85,107.0,104.5,104.5,104.71,"1,386.70",95.0,41569640,"4,35,26,03,949.85",182679,-0.02336448598130836,106.64285714285714,106.28214285714286,108.84833333333333,0.020144619878636916,-0.15098570453417592
2023-03-21,2023-03-21,105.1,105.4,104.3,104.5,104.8,104.75,104.71,"1,386.70",95.0,26434897,"2,76,80,91,153.40",142994,0.0023923444976077235,106.16428571428571,106.33928571428571,108.425,0.020289002265220187,-0.3640816470866719
2023-03-22,2023-03-22,104.75,105.95,104.4,104.75,104.95,104.8,105.21,"1,386.70",95.0,25891259,"2,72,40,80,059.55",105023,0.0004773269689737347,105.87857142857145,106.28928571428571,108.20333333333335,0.020045386774765098,-0.0205651642977841
2023-03-23,2023-03-23,104.4,105.5,104.35,104.8,105.0,104.9,105.06,"1,386.70",95.0,20913844,"2,19,71,43,347.90",114789,0.000954198473282597,105.66428571428571,106.30714285714285,107.98499999999999,0.020076321574566607,-0.19224306550716597
2023-03-24,2023-03-24,105.0,105.05,101.55,104.9,102.05,102.1,103.1,"1,386.70",95.0,39014278,"4,02,23,77,160.10",241782,-0.02669208770257403,104.72857142857141,105.95714285714284,107.68,0.019059088267275804,0.8654761888823499
2023-03-27,2023-03-27,102.55,103.4,102.1,102.1,102.3,102.3,102.63,"1,386.70",95.0,24753289,"2,54,05,28,569.55",149006,0.0019588638589618235,104.33571428571429,105.71785714285714,107.46333333333334,0.015912243304324163,-0.3655325622070976
2023-03-28,2023-03-28,102.85,103.1,102.35,102.3,102.6,102.5,102.66,"1,386.70",95.0,18703734,"1,92,02,12,067.45",119164,0.0019550342130987275,103.69285714285715,105.43214285714285,107.25500000000001,0.01301952071441803,-0.2443939874010278
2023-03-29,2023-03-29,102.5,104.5,101.65,102.5,103.8,103.6,102.55,"1,386.70",95.0,37221124,"3,81,70,72,842.05",150605,0.01073170731707318,103.56428571428572,105.10357142857143,107.06666666666666,0.011779213876699774,0.9900370696033209
2023-03-31,2023-03-31,105.0,105.5,104.1,103.6,104.5,104.5,104.9,"1,386.70",95.0,34579415,"3,62,73,14,028.05",143838,0.008687258687258836,103.52857142857144,104.84642857142858,106.87333333333332,0.012324584735894421,-0.07097338059968317
2023-04-03,2023-04-03,105.1,105.25,103.8,104.5,104.15,104.1,104.3,"1,386.70",95.0,21840428,"2,27,80,58,629.40",111674,-0.003827751196172291,103.42857142857143,104.65357142857142,106.61,0.012388014292698545,-0.3683979905385907
2023-04-05,2023-04-05,104.1,105.0,103.2,104.1,104.8,104.85,104.27,"1,386.70",95.0,25194802,"2,62,70,43,258.30",126999,0.007204610951008661,103.42142857142856,104.54285714285716,106.36333333333333,0.012762725097556653,0.15358554328697216
2023-04-06,2023-04-06,104.85,105.1,104.2,104.85,104.5,104.35,104.58,"1,386.70",95.0,21053782,"2,20,18,00,059.70",95727,-0.004768717215069107,103.74285714285713,104.23571428571428,106.09666666666666,0.006039088440071296,-0.16436009300648602
2023-04-10,2023-04-10,104.5,105.75,104.5,104.35,105.1,104.95,105.07,"1,384.00",95.0,19992257,"2,10,06,42,987.95",99915,0.005749880210829117,104.12142857142855,104.22857142857143,105.82333333333332,0.006085899657451704,-0.05041968231645977
2023-04-11,2023-04-11,105.55,107.85,105.1,104.95,107.6,107.55,106.2,"1,384.00",95.0,49304956,"5,23,61,10,495.10",130047,0.02477370176274407,104.84285714285714,104.26785714285714,105.70333333333333,0.00991628023213444,1.4662025903328475
2023-04-12,2023-04-12,108.2,108.4,106.95,107.55,107.7,107.6,107.81,"1,384.00",95.0,27349538,"2,94,85,17,983.10",128731,0.00046490004649002437,105.41428571428571,104.48928571428571,105.555,0.01001999160848977,-0.4452983996172717
2023-04-13,2023-04-13,107.5,108.15,105.9,107.6,107.6,107.5,106.9,"1,384.00",95.0,34880922,"3,72,88,37,192.45",123611,-0.0009293680297397522,105.84285714285714,104.68571428571428,105.48,0.010163450724695072,0.275375181840366
2023-04-17,2023-04-17,107.6,108.3,106.75,107.5,107.2,107.15,107.25,"1,366.65",95.0,24642162,"2,64,28,35,449.50",124418,-0.0032558139534882846,106.27857142857144,104.85357142857143,105.515,0.01009118232258157,-0.2935346720479465
2023-04-18,2023-04-18,107.2,107.9,106.85,107.15,107.55,107.6,107.33,"1,366.65",95.0,25476339,"2,73,44,57,761.10",81880,0.0041997200186654204,106.67142857142858,105.04642857142856,105.63666666666667,0.010004466573861335,0.03385161577949214
2023-04-19,2023-04-19,107.85,110.4,107.75,107.6,108.1,108.1,109.04,"1,366.65",95.0,62100775,"6,77,17,63,621.70",184789,0.004646840148698983,107.20714285714284,105.47500000000001,105.72333333333333,0.009274961287727859,1.4375863031183562
2023-04-20,2023-04-20,108.2,108.7,107.4,108.1,108.1,108.0,108.02,"1,366.65",95.0,18337948,"1,98,08,44,661.65",99645,-0.0009250693802034249,107.64285714285714,105.88214285714287,105.835,0.009535616934251355,-0.7047066159802353
2023-04-21,2023-04-21,108.0,108.1,105.35,108.0,106.1,106.15,106.06,"1,366.65",95.0,37638506,"3,99,18,43,098.75",155242,-0.017129629629629606,107.44285714285715,106.14285714285714,105.80666666666666,0.007317936802707832,1.0524927870882825
2023-04-24,2023-04-24,106.4,106.7,105.35,106.15,106.7,106.5,106.21,"1,330.00",95.0,23475012,"2,49,33,11,630.90",104865,0.0032972209138011355,107.28571428571429,106.35,105.835,0.0075419366060957135,-0.37630329960493114
2023-04-25,2023-04-25,106.7,107.6,106.25,106.5,106.95,107.05,107.17,"1,330.00",95.0,23333425,"2,50,05,46,363.50",117726,0.00516431924882621,107.22142857142856,106.53214285714284,105.85333333333332,0.007951566379804847,-0.0060313920180318226
2023-04-26,2023-04-26,106.5,107.05,105.85,107.05,106.9,106.85,106.61,"1,330.00",95.0,23590297,"2,51,48,95,123.15",102154,-0.0018682858477346853,107.17857142857143,106.72857142857143,105.80833333333334,0.007890566987053189,0.011008756751312854
2023-04-27,2023-04-27,106.3,107.85,106.3,106.85,107.65,107.65,107.29,"1,330.00",95.0,22364308,"2,39,93,60,923.30",101664,0.007487131492746935,107.18571428571428,106.92857142857143,105.79333333333334,0.008295560698523954,-0.051970053619926904
2023-04-28,2023-04-28,107.8,108.5,107.3,107.65,108.0,107.95,107.8,"1,330.00",95.0,30072920,"3,24,18,48,071.05",121074,0.0027868091035763154,107.16428571428573,107.18571428571428,105.83166666666666,0.008154081864926315,0.3446836808006757
2023-05-02,2023-05-02,108.0,110.85,108.0,107.95,110.4,110.3,109.88,"1,330.00",95.0,52822162,"5,80,39,26,375.60",177776,0.021769337656322385,107.49285714285715,107.56785714285714,105.96166666666666,0.011590987464587832,0.7564693418530692
2023-05-03,2023-05-03,109.8,111.0,108.75,110.3,109.75,109.7,109.71,"1,330.00",95.0,51272624,"5,62,50,37,044.30",164302,-0.005439709882139598,108.0,107.72142857142856,105.99666666666667,0.008669078960562345,-0.02933499768525183
2023-05-04,2023-05-04,110.0,111.9,109.5,109.7,110.9,111.05,111.1,"1,330.00",95.0,38636907,"4,29,23,97,887.10",141966,0.012306289881494958,108.64999999999999,107.96785714285716,106.19666666666667,0.0090778728123094,-0.24644178538629113
2023-05-05,2023-05-05,110.85,110.85,108.4,111.05,108.7,108.65,109.25,"1,330.00",95.0,32958346,"3,60,06,77,932.40",132104,-0.021611886537595604,108.87857142857142,108.05,106.25166666666668,0.013876335414595316,-0.14697245304858386
2023-05-08,2023-05-08,109.25,109.85,108.25,108.65,109.75,109.55,109.36,"1,274.20",95.0,23130472,"2,52,94,84,680.95",100999,0.008283479061205634,109.26428571428572,108.22142857142856,106.42,0.01391021897931947,-0.2981907526548814
2023-05-09,2023-05-09,109.6,111.2,109.15,109.55,109.65,109.55,110.22,"1,274.20",95.0,27999202,"3,08,59,64,389.15",124913,0.0,109.53571428571429,108.3607142857143,106.58,0.013854140118491162,0.21048986808397174
2023-05-10,2023-05-10,109.6,110.0,108.6,109.55,109.35,109.25,109.03,"1,274.20",95.0,19213215,"2,09,49,12,629.60",102095,-0.002738475581926081,109.72142857142856,108.44285714285714,106.72833333333332,0.013997377899082848,-0.3137941931345043
2023-05-11,2023-05-11,109.2,109.5,108.25,109.25,108.65,108.55,108.8,"1,274.20",95.0,19817637,"2,15,61,37,340.30",108331,-0.006407322654462311,109.47142857142856,108.48214285714286,106.85,0.0110338736016609,0.03145866009410714
2023-05-12,2023-05-12,108.35,108.4,106.55,108.55,106.85,106.75,107.06,"1,274.20",95.0,36794838,"3,93,91,90,769.55",152385,-0.016582220175034523,109.04999999999998,108.525,107.00499999999998,0.012304695851571066,0.85667130748232
2023-05-15,2023-05-15,107.05,108.2,105.65,106.75,107.65,107.7,107.17,"1,209.00",95.0,22148028,"2,37,35,07,495.90",124207,0.008899297423887509,108.57142857142857,108.6107142857143,107.185,0.011608103826835532,-0.3980669788517618
2023-05-16,2023-05-16,108.2,108.65,107.2,107.7,107.55,107.4,107.62,"1,209.00",95.0,18587658,"2,00,03,32,266.55",95237,-0.0027855153203342198,108.39285714285714,108.63571428571427,107.34833333333334,0.008763131175149966,-0.16075336368547122
2023-05-17,2023-05-17,107.4,107.5,105.55,107.4,106.05,106.0,106.26,"1,209.00",95.0,28895465,"3,07,04,86,552.55",158469,-0.013035381750465591,107.88571428571427,108.575,107.42833333333334,0.008447045440481393,0.5545511435598827
