DATE,DATA,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF__TRADES,DAILY_RETURN,MA_7,MA_14,MA_30,VOLATILITY,VOLUME_CHANGE,PREDICTED_CLOSE,EXPECTED_RETURN,SIGNAL
2023-02-13,2023-02-13,108.8,110.6,108.4,108.8,109.15,108.75,109.23,"1,386.70",95.0,56186469,"6,13,69,99,513.30",213478,-0.0004595588235294,112.78571428571428,116.57142857142856,118.05666666666666,0.0198743691464021,-0.0760332937028279,110.15734913346992,0.01294114145719468,BUY
2023-02-14,2023-02-14,109.55,109.9,108.25,108.75,109.3,109.25,109.07,"1,386.70",95.0,31163587,"3,39,91,53,115.15",147750,0.0045977011494253,111.20000000000002,115.775,117.72333333333331,0.0200599944377934,-0.4453542364443652,108.97796318143831,-0.0024900395291687664,HOLD
2023-02-15,2023-02-15,109.0,110.6,108.8,109.25,110.35,110.3,109.82,"1,386.70",95.0,35544190,"3,90,33,13,900.75",150839,0.0096109839816933,110.17857142857144,115.01071428571429,117.45166666666668,0.0211243023820846,0.1405679968740441,110.30226542260812,2.0538736247676187e-05,HOLD
2023-02-16,2023-02-16,111.0,112.2,110.65,110.3,112.0,112.0,111.38,"1,386.70",95.0,30956191,"3,44,79,51,206.65",133246,0.015412511332729,110.25714285714284,114.39285714285714,117.32666666666668,0.0117996852067726,-0.1290787326986492,111.66186858276653,-0.0030190305110131227,HOLD
2023-02-17,2023-02-17,111.55,113.1,111.3,112.0,112.1,112.25,112.56,"1,386.70",95.0,34107244,"3,83,92,75,198.65",150582,0.0022321428571427,110.37142857142858,113.92857142857144,117.18333333333334,0.0118057721514116,0.1017907209578852,112.55883267351825,0.002751293305285108,HOLD
2023-02-20,2023-02-20,112.3,112.7,111.05,112.25,112.55,112.35,112.16,"1,386.70",95.0,19896764,"2,23,16,99,003.55",105686,0.0008908685968818,110.52857142857144,113.40357142857142,117.07333333333332,0.0117401542789708,-0.4166411100234308,111.595131099234,-0.006718904323684903,SELL
2023-02-21,2023-02-21,112.9,114.2,112.75,112.35,113.45,113.15,113.56,"1,386.70",95.0,29830864,"3,38,74,74,094.25",149603,0.0071206052514465,111.15,112.76785714285714,116.92666666666668,0.0055665792823061,0.4992821948332904,113.70358857490615,0.004892519442387481,HOLD
2023-02-22,2023-02-22,113.25,113.7,110.65,113.15,111.15,111.15,111.85,"1,386.70",95.0,24391211,"2,72,81,86,737.25",128818,-0.0176756517896597,111.49285714285712,112.13928571428572,116.67,0.0104053366533526,-0.1823498306988359,111.4923199152576,0.003079801306860912,HOLD
2023-02-23,2023-02-23,111.55,113.65,111.35,111.15,112.2,112.05,112.32,"1,386.70",95.0,30845778,"3,46,44,72,213.65",153482,0.0080971659919026,111.89285714285714,111.54642857142858,116.44333333333331,0.0105681612478711,0.2646267542845659,113.1217411344214,0.009564847250525671,BUY
2023-02-24,2023-02-24,112.5,112.9,109.55,112.05,109.85,109.75,110.47,"1,386.70",95.0,34326940,"3,79,20,36,662.95",154954,-0.0205265506470325,111.81428571428572,110.99642857142858,116.165,0.0134816488680993,0.1128570010456535,110.51986820074194,0.007014744425894663,BUY
